"ОАО ""БАКАЙ БАНК""",84.70,84.90,100.00,101.50,1.108,1.120,0.1850,0.2050
"ЗАО ""ФИНКА Банк""",84.60,84.90,100.00,101.50,1.108,1.120,0.1850,0.1990
"ОАО ""Дос-Кредобанк""",84.70,84.90,100.10,101.40,1.108,1.120,0.1900,0.2050
"ОАО ""Капитал Банк""",84.50,84.90,99.80,101.30,1.106,1.120,0.1600,0.2000
"ЗАО ""Банк Азии""",84.50,84.90,99.70,101.20,1.107,1.120,0.1950,0.2050
"АКБ ""Толубай""",84.50,84.90,100.00,101.50,1.100,1.140,0.1600,0.2000
"ЗАО ""Банк Компаньон""",84.50,84.90,99.80,101.30,1.106,1.120,0.1800,0.2050
"ОАО ""Керемет Банк""",84.60,84.90,100.00,101.50,1.100,1.125,0.1800,0.2000
"ЗАО ""ЭкоИсламикБанк""",84.70,84.90,100.00,101.50,1.105,1.125,0.1900,0.2050
"ОАО ""Оптима Банк""",84.70,84.90,100.00,101.50,1.107,1.127,0.1900,0.2050
"ОАО ""Халык Банк Кыргызстан""",84.50,84.90,100.00,101.50,1.102,1.130,0.1850,0.2100
"ЗАО ""KICB""",84.60,84.90,99.90,101.40,1.102,1.125,0.1800,0.2000
"ОАО ""ФинансКредитБанк КАБ""",84.50,84.90,99.80,101.30,1.104,1.125,0.1750,0.2050
MCS,84.70,84.90,100.70,101.20,1.109,1.116,0.1970,0.1990
"""АЮ гранд   комфорт""",84.70,84.90,100.00,101.20,1.105,1.120,0.1950,0.1990
"ОАО ""РСК Банк""",84.50,84.90,100.00,101.50,1.103,1.123,0.1700,0.2050
"ЗАО Банк ""Бай-Tушум""",84.50,84.90,100.00,101.50,1.108,1.125,0.1750,0.2000
"ОАО ""Айыл Банк""",84.50,84.90,100.00,101.50,1.108,1.125,0.1850,0.2020
"ОАО МФК ""Салым Финанс""",84.60,84.90,100.00,101.50,1.105,1.125,0.1800,0.2000
"ЗАО ""Демир Кыргыз Интернэшнл Банк""",84.50,84.90,100.00,101.50,1.100,1.125,0.1850,0.2050
"ЗАО ""Кыргызско-Швейцарский Банк""",84.50,84.90,100.00,101.50,1.103,1.130,0.1700,0.2000
Бишкекский Филиал Национального Банка Пакистана,84.60,84.90,100.00,101.50,1.100,1.120,—,—
"ОАО РК ""Аманбанк""",84.60,84.90,100.00,101.50,1.105,1.125,0.1500,0.2050
"ОАО ""КБ КЫРГЫЗСТАН""",84.50,84.90,100.00,101.50,1.103,1.123,0.1860,0.2000
"ОАО ""Кыргызкоммерцбанк""",84.60,84.90,100.00,101.50,1.103,1.129,0.1800,0.2050
"ОАО ""Евразийский Сберегательный Банк""",84.50,84.90,100.00,101.50,1.105,1.125,0.1700,0.2200
